Date,Open,High,Low,Close
2010-01-04,64.709999,64.989998,64.410004,64.68
2010-01-05,64.580002,64.620003,63.82,63.93
2010-01-06,63.900002,64.540001,63.830002,64.449997
2010-01-07,64.25,64.349998,63.740002,63.990002
2010-01-08,63.919998,64.260002,63.630001,64.209999
2010-01-11,64.75,64.75,64.010002,64.220001
2010-01-12,64.129997,64.720001,64.019997,64.559998
2010-01-13,64.540001,65.230003,64.540001,64.970001
2010-01-14,65.199997,65.269997,64.75,65.099998
2010-01-15,65.139999,65.199997,63.98,64.559998
2010-01-19,64.139999,65.75,64.110001,65.349998
2010-01-20,65.470001,65.949997,64.470001,65.150002
2010-01-21,65.07,65.470001,63.799999,63.970001
2010-01-22,63.91,64.190002,63.09,63.200001
2010-01-25,63.669998,63.700001,63.049999,63.220001
2010-01-26,62.639999,63.009998,62.220001,62.790001
2010-01-27,62.779999,63.720001,62.700001,63.439999
2010-01-28,63.57,64.07,63.040001,63.799999
2010-01-29,63.950001,64.269997,62.82,62.860001
2010-02-01,63.259998,63.259998,62.77,63.09
2010-02-02,63.200001,64.199997,62.630001,63.990002
2010-02-03,63.869999,63.869999,63.290001,63.630001
2010-02-04,63.490002,63.619999,62.619999,62.639999
2010-02-05,62.689999,63.599998,61.889999,62.639999
2010-02-08,62.5,62.98,62.259998,62.369999
2010-02-09,62.549999,63.470001,62.470001,62.759998
2010-02-10,62.790001,63.07,62.209999,62.73
2010-02-11,62.619999,63.209999,62.259998,62.91
2010-02-12,62.610001,63.0,62.110001,62.720001
2010-02-16,63.25,63.709999,62.82,63.610001
2010-02-17,63.630001,64.360001,63.610001,63.98
2010-02-18,63.98,64.699997,63.950001,64.529999
2010-02-19,64.150002,64.459999,63.619999,63.810001
2010-02-22,63.810001,64.099998,63.389999,63.490002
2010-02-23,63.560001,63.849998,63.23,63.310001
2010-02-24,63.549999,63.849998,63.25,63.450001
2010-02-25,62.790001,63.349998,62.52,63.279999
2010-02-26,63.459999,63.59,63.0,63.0
2010-03-01,63.27,63.459999,63.169998,63.389999
2010-03-02,63.310001,63.639999,63.02,63.439999
2010-03-03,63.59,63.75,63.220001,63.400002
2010-03-04,63.529999,63.700001,63.369999,63.57
2010-03-05,63.66,64.07,63.549999,64.040001
2010-03-08,64.080002,64.410004,64.019997,64.199997
2010-03-09,64.550003,64.550003,64.089996,64.269997
2010-03-10,64.489998,64.559998,64.150002,64.290001
2010-03-11,64.150002,64.220001,63.599998,64.220001
2010-03-12,64.260002,64.260002,63.849998,64.18
2010-03-15,64.139999,64.57,64.07,64.57
2010-03-16,64.699997,64.720001,64.230003,64.529999
2010-03-17,64.720001,64.739998,64.480003,64.650002
2010-03-18,64.580002,65.150002,64.370003,65.059998
2010-03-19,65.110001,65.489998,64.809998,65.110001
2010-03-22,65.07,65.440002,64.980003,65.099998
2010-03-23,65.18,65.389999,64.870003,65.360001
2010-03-24,65.309998,65.309998,64.75,64.75
2010-03-25,65.040001,65.25,64.529999,64.57
2010-03-26,64.68,64.720001,64.330002,64.379997
2010-03-29,64.459999,64.93,64.400002,64.82
2010-03-30,64.949997,64.980003,64.559998,64.900002
2010-03-31,64.839996,65.309998,64.699997,65.199997
2010-04-01,65.370003,65.769997,65.239998,65.769997
2010-04-05,65.769997,65.889999,65.379997,65.400002
2010-04-06,65.129997,65.449997,65.0,65.309998
2010-04-07,65.239998,65.489998,65.080002,65.220001
2010-04-08,65.190002,65.190002,64.769997,64.93
2010-04-09,64.879997,65.169998,64.779999,65.139999
2010-04-12,65.110001,65.209999,64.93,65.110001
2010-04-13,65.059998,65.849998,64.910004,65.68
2010-04-14,65.43,65.599998,65.18,65.489998
2010-04-15,65.290001,65.540001,65.129997,65.510002
2010-04-16,65.339996,65.650002,64.889999,65.019997
2010-04-19,65.059998,66.099998,65.059998,66.029999
2010-04-20,66.029999,66.199997,65.730003,65.989998
2010-04-21,65.980003,65.980003,65.07,65.389999
2010-04-22,65.18,65.239998,64.330002,64.779999
2010-04-23,64.709999,65.040001,64.330002,65.040001
2010-04-26,64.989998,65.199997,64.720001,64.760002
2010-04-27,64.57,64.879997,64.209999,64.279999
2010-04-28,64.43,64.860001,64.25,64.620003
2010-04-29,64.849998,65.339996,64.849998,65.010002
2010-04-30,65.129997,65.339996,64.300003,64.300003
2010-05-03,65.160004,65.620003,64.540001,65.330002
2010-05-04,65.07,65.279999,64.410004,64.699997
2010-05-05,64.580002,65.290001,64.440002,65.139999
2010-05-06,65.040001,65.099998,60.029999,63.400002
2010-05-07,63.259998,63.599998,62.09,63.310001
2010-05-10,64.910004,65.360001,64.0,64.75
2010-05-11,64.230003,65.089996,64.18,64.669998
2010-05-12,64.849998,65.050003,64.489998,64.900002
2010-05-13,64.839996,65.160004,64.510002,64.669998
2010-05-14,64.709999,64.790001,63.41,63.970001
2010-05-17,64.059998,64.239998,63.200001,63.880001
2010-05-18,63.439999,63.560001,62.849998,62.970001
2010-05-19,62.689999,62.959999,62.049999,62.220001
2010-05-20,61.82,61.84,60.549999,60.549999
2010-05-21,59.779999,60.959999,59.509998,60.880001
2010-05-24,60.619999,61.450001,60.209999,60.57
2010-05-25,59.709999,60.41,59.150002,60.349998
2010-05-26,60.830002,60.830002,59.650002,59.66
2010-05-27,59.740002,59.889999,58.709999,59.029999
2010-05-28,58.720001,59.119999,58.189999,58.299999
2010-06-01,58.209999,59.41,57.549999,58.759998
2010-06-02,59.07,59.73,58.689999,59.73
2010-06-03,59.889999,60.150002,59.549999,59.77
2010-06-04,58.959999,59.029999,57.759998,58.009998
2010-06-07,58.169998,58.549999,58.0,58.0
2010-06-08,58.150002,58.709999,57.869999,58.639999
2010-06-09,58.799999,58.939999,57.939999,58.169998
2010-06-10,58.720001,59.130001,58.349998,58.5
2010-06-11,58.169998,58.48,57.939999,58.459999
2010-06-14,58.700001,59.099998,58.380001,58.419998
2010-06-15,58.93,59.16,58.549999,59.139999
2010-06-16,59.25,59.580002,58.779999,59.240002
2010-06-17,59.279999,59.439999,58.650002,59.18
2010-06-18,59.18,59.290001,58.849998,59.18
2010-06-21,59.5,59.799999,58.919998,59.130001
2010-06-22,59.25,60.09,59.119999,59.16
2010-06-23,59.16,59.419998,58.709999,59.240002
2010-06-24,59.029999,59.939999,59.029999,59.599998
2010-06-25,59.860001,59.869999,58.630001,58.700001
2010-06-28,59.009998,59.790001,58.810001,59.450001
2010-06-29,58.98,59.419998,58.68,59.240002
2010-06-30,59.040001,59.610001,58.939999,59.060001
2010-07-01,59.07,59.25,58.650002,59.07
2010-07-02,59.419998,59.59,58.849998,59.080002
2010-07-06,59.5,59.599998,58.669998,59.080002
2010-07-07,59.330002,60.700001,59.040001,60.610001
2010-07-08,60.93,61.73,60.639999,61.380001
2010-07-09,60.970001,61.07,60.380001,60.540001
2010-07-12,60.48,60.540001,60.060001,60.209999
2010-07-13,60.59,60.959999,60.439999,60.5
2010-07-14,60.16,60.68,60.049999,60.619999
2010-07-15,60.619999,60.75,59.900002,60.259998
2010-07-16,60.0,60.189999,59.25,59.439999
2010-07-19,59.720001,59.790001,59.369999,59.57
2010-07-20,58.450001,58.77,58.0,58.580002
2010-07-21,58.799999,58.799999,56.869999,57.119999
2010-07-22,57.43,57.619999,56.860001,57.02
2010-07-23,57.279999,57.639999,57.0,57.630001
2010-07-26,57.650002,58.009998,57.48,57.740002
2010-07-27,57.950001,58.439999,57.619999,58.099998
2010-07-28,58.139999,58.25,57.650002,57.830002
2010-07-29,58.099998,58.27,57.709999,57.830002
2010-07-30,57.630001,58.360001,57.27,58.09
2010-08-02,58.5,58.880001,58.41,58.720001
2010-08-03,58.75,59.599998,58.709999,59.349998
2010-08-04,59.369999,59.93,59.23,59.740002
2010-08-05,59.529999,59.889999,59.509998,59.759998
2010-08-06,59.52,60.0,59.25,59.959999
2010-08-09,60.0,60.25,59.790001,60.049999
2010-08-10,59.41,59.810001,58.900002,59.43
2010-08-11,58.919998,58.950001,58.299999,58.5
2010-08-12,58.150002,58.709999,58.099998,58.52
2010-08-13,58.490002,58.490002,58.060001,58.150002
2010-08-16,57.990002,58.110001,57.470001,58.009998
2010-08-17,58.93,59.48,58.5,59.220001
2010-08-18,59.459999,59.82,59.029999,59.349998
2010-08-19,59.169998,59.18,58.400002,58.720001
2010-08-20,58.700001,58.91,58.490002,58.740002
2010-08-23,58.98,59.349998,58.810001,58.869999
2010-08-24,58.5,58.689999,57.860001,58.009998
2010-08-25,58.0,58.200001,57.84,57.98
2010-08-26,58.200001,58.220001,57.779999,57.799999
2010-08-27,57.450001,57.880001,56.990002,57.599998
2010-08-30,57.599998,57.799999,57.259998,57.299999
2010-08-31,57.25,57.439999,57.0,57.02
2010-09-01,57.669998,58.360001,57.439999,58.290001
2010-09-02,58.52,58.790001,58.299999,58.610001
2010-09-03,58.849998,59.0,58.5,58.93
2010-09-07,58.799999,58.970001,58.630001,58.700001
2010-09-08,58.419998,59.029999,58.419998,58.849998
2010-09-09,59.389999,60.029999,59.259998,59.82
2010-09-10,59.939999,60.0,59.77,59.98
2010-09-13,60.060001,60.380001,59.919998,60.32
2010-09-14,60.43,60.970001,60.25,60.580002
2010-09-15,60.669998,61.150002,60.5,61.049999
2010-09-16,60.82,61.389999,60.759998,61.290001
2010-09-17,61.59,61.720001,61.130001,61.57
2010-09-20,61.650002,62.23,61.509998,62.09
2010-09-21,61.860001,62.23,61.799999,61.939999
2010-09-22,61.98,62.5,61.900002,61.970001
2010-09-23,61.630001,62.0,61.57,61.810001
2010-09-24,61.98,62.400002,61.830002,62.139999
2010-09-27,62.220001,62.32,61.93,62.029999
2010-09-28,61.959999,62.599998,61.689999,62.43
2010-09-29,62.310001,62.549999,62.130001,62.310001
2010-09-30,62.490002,62.700001,61.549999,61.959999
2010-10-01,62.09,62.25,61.57,61.75
2010-10-04,61.540001,61.98,61.299999,61.669998
2010-10-05,62.080002,62.939999,62.009998,62.799999
2010-10-06,62.889999,63.259998,62.5,63.209999
2010-10-07,63.290001,63.5,63.0,63.220001
2010-10-08,63.380001,63.389999,63.029999,63.23
2010-10-11,63.259998,63.310001,63.040001,63.299999
2010-10-12,63.130001,63.439999,62.970001,63.290001
2010-10-13,63.43,63.790001,63.290001,63.580002
2010-10-14,63.790001,63.799999,63.389999,63.740002
2010-10-15,63.98,64.0,63.139999,63.57
2010-10-18,63.689999,63.98,63.25,63.860001
2010-10-19,62.889999,63.669998,62.5,63.290001
2010-10-20,63.32,64.029999,63.060001,63.599998
2010-10-21,63.860001,64.220001,63.52,63.990002
2010-10-22,64.080002,64.120003,63.639999,63.810001
2010-10-25,64.040001,64.230003,63.849998,63.98
2010-10-26,63.849998,63.950001,63.610001,63.84
2010-10-27,63.580002,63.689999,63.279999,63.57
2010-10-28,63.939999,64.110001,63.509998,63.560001
2010-10-29,63.639999,63.84,63.32,63.740002
2010-11-01,63.880001,64.089996,63.310001,63.689999
2010-11-02,63.939999,64.199997,63.720001,63.880001
2010-11-03,63.990002,64.199997,63.549999,64.190002
2010-11-04,64.32,64.919998,64.239998,64.760002
2010-11-05,64.75,64.839996,64.099998,64.650002
2010-11-08,64.559998,64.610001,64.099998,64.330002
2010-11-09,64.470001,64.5,64.099998,64.309998
2010-11-10,64.239998,64.339996,63.549999,63.950001
2010-11-11,63.700001,63.950001,63.580002,63.919998
2010-11-12,63.689999,64.089996,63.509998,63.669998
2010-11-15,64.110001,64.690002,63.98,64.139999
2010-11-16,63.650002,63.950001,62.650002,63.139999
2010-11-17,63.130001,63.290001,62.919998,63.060001
2010-11-18,63.470001,64.0,63.299999,63.830002
2010-11-19,63.889999,64.220001,63.650002,63.830002
2010-11-22,63.5,63.82,63.09,63.619999
2010-11-23,62.990002,63.25,62.650002,62.869999
2010-11-24,63.029999,63.490002,62.93,63.290001
2010-11-26,62.5,62.57,62.139999,62.299999
2010-11-29,61.810001,62.009998,61.389999,61.91
2010-11-30,61.48,61.82,61.25,61.549999
2010-12-01,62.18,62.48,61.82,62.419998
2010-12-02,62.389999,62.880001,62.27,62.599998
2010-12-03,62.509998,62.77,62.23,62.560001
2010-12-06,62.310001,62.48,62.200001,62.200001
2010-12-07,62.560001,62.740002,62.25,62.310001
2010-12-08,62.220001,62.560001,62.139999,62.450001
2010-12-09,62.43,62.959999,61.75,62.060001
2010-12-10,62.189999,62.330002,61.689999,61.91
2010-12-13,61.830002,61.970001,61.560001,61.860001
2010-12-14,62.029999,62.939999,61.889999,62.77
2010-12-15,62.93,63.16,62.439999,62.57
2010-12-16,62.75,62.790001,62.040001,62.400002
2010-12-17,62.25,62.540001,61.98,62.540001
2010-12-20,62.540001,62.650002,62.23,62.490002
2010-12-21,62.790001,62.799999,62.279999,62.34
2010-12-22,62.330002,62.400002,61.919998,62.02
2010-12-23,62.02,62.459999,62.02,62.25
2010-12-27,62.189999,62.240002,61.82,61.93
2010-12-28,62.060001,62.299999,61.900002,62.049999
2010-12-29,62.119999,62.439999,62.110001,62.130001
2010-12-30,62.099998,62.189999,61.900002,61.939999
2010-12-31,61.900002,62.09,61.75,61.849998
2011-01-03,62.630001,63.18,62.529999,62.82
2011-01-04,63.130001,63.349998,62.75,63.349998
2011-01-05,63.41,63.540001,62.950001,63.310001
2011-01-06,63.43,63.529999,62.900002,63.209999
2011-01-07,63.200001,63.25,62.560001,62.599998
