Date,Open,High,Low,Close
2010-01-04,49.45,49.64,49.25,49.54
2010-01-05,48.38,48.39,48.01,48.2
2010-01-06,47.57,48.05,47.36,47.6
2010-01-07,47.1,47.22,46.75,46.98
2010-01-08,47.6,48.13,47.35,48.07
2010-01-11,48.39,48.41,48.08,48.27
2010-01-12,47.92,48.18,47.8,47.88
2010-01-13,48.22,48.29,47.8,48.05
2010-01-14,48.36,48.6,48.24,48.53
2010-01-15,48.1,48.13,47.7,47.95
2010-01-19,47.94,48.68,47.85,48.65
2010-01-20,48.15,48.2,47.91,48.12
2010-01-21,48.89,49.5,48.4,48.8
2010-01-22,48.35,48.7,47.95,48.02
2010-01-25,48.72,48.9,48.18,48.31
2010-01-26,47.61,48.01,47.5,47.62
2010-01-27,47.97,48.38,47.9,48.37
2010-01-28,48.53,48.62,47.87,48.4
2010-01-29,48.05,48.8,47.32,47.51
2010-02-01,47.65,48.15,47.65,48.15
2010-02-02,48.31,48.43,48.11,48.39
2010-02-03,48.3,48.33,47.95,48.24
2010-02-04,47.25,47.25,46.43,46.45
2010-02-05,45.4,45.45,44.43,45.15
2010-02-08,45.9,46.4,45.65,45.8
2010-02-09,45.85,46.65,45.63,46.46
2010-02-10,46.11,46.3,45.62,46.0
2010-02-11,46.0,46.74,45.7,46.74
2010-02-12,47.05,47.05,45.5,46.75
2010-02-16,47.01,47.65,46.89,47.56
2010-02-17,47.51,47.64,47.33,47.55
2010-02-18,47.44,47.8,47.35,47.35
2010-02-19,48.6,48.95,48.27,48.8
2010-02-22,48.88,48.96,48.56,48.7
2010-02-23,48.85,49.13,48.58,48.6
2010-02-24,49.14,49.7,49.06,49.4
2010-02-25,48.45,49.2,48.43,49.19
2010-02-26,49.18,50.0,49.05,49.74
2010-03-01,49.69,49.98,49.4,49.94
2010-03-02,50.43,50.55,50.13,50.45
2010-03-03,50.15,50.15,47.0,49.74
2010-03-04,50.25,50.3,49.7,50.13
2010-03-05,49.25,50.15,49.05,49.43
2010-03-08,49.26,49.6,49.22,49.41
2010-03-09,49.72,50.0,49.61,49.87
2010-03-10,50.16,50.55,50.0,50.21
2010-03-11,50.15,50.5,49.95,50.43
2010-03-12,50.75,51.0,50.6,50.82
2010-03-15,50.5,50.85,50.39,50.66
2010-03-16,51.3,51.6,51.17,51.5
2010-03-17,51.35,51.63,51.3,51.4
2010-03-18,51.3,51.35,50.75,51.18
2010-03-19,50.76,50.88,50.08,50.36
2010-03-22,50.15,51.15,50.05,50.97
2010-03-23,50.86,51.15,50.69,50.9
2010-03-24,50.25,50.85,50.04,50.04
2010-03-25,50.35,50.7,50.12,50.19
2010-03-26,50.3,51.1,49.27,50.23
2010-03-29,50.44,50.68,50.42,50.55
2010-03-30,50.75,50.75,50.46,50.57
2010-03-31,50.91,51.43,50.9,51.2
2010-04-01,51.35,51.55,50.91,51.03
2010-04-05,51.0,51.05,50.75,50.78
2010-04-06,49.95,50.34,49.75,50.21
2010-04-07,50.05,50.09,49.68,49.75
2010-04-08,49.19,49.44,49.01,49.35
2010-04-09,49.55,50.02,49.42,50.02
2010-04-12,50.4,50.47,50.13,50.25
2010-04-13,50.26,50.44,49.93,50.3
2010-04-14,50.65,50.95,50.62,50.72
2010-04-15,50.34,50.79,50.25,50.74
2010-04-16,50.05,50.25,49.65,50.05
2010-04-19,48.24,48.48,48.05,48.48
2010-04-20,49.06,49.26,48.75,48.95
2010-04-21,48.61,48.95,48.47,48.84
2010-04-22,49.43,49.43,48.86,49.35
2010-04-23,48.83,49.74,48.83,49.73
2010-04-26,49.8,49.95,49.7,49.85
2010-04-27,49.35,49.76,48.01,48.15
2010-04-28,48.35,48.45,47.22,47.74
2010-04-29,48.74,48.99,48.55,48.86
2010-04-30,48.95,49.14,48.64,48.9
2010-05-03,48.69,48.75,48.29,48.62
2010-05-04,48.25,48.25,47.5,47.68
2010-05-05,47.0,47.49,46.55,46.82
2010-05-06,46.65,47.2,45.0,46.43
2010-05-07,46.05,46.12,44.6,45.25
2010-05-10,46.8,46.99,46.09,46.31
2010-05-11,46.75,47.78,46.75,47.39
2010-05-12,47.95,48.28,47.77,48.17
2010-05-13,47.95,48.19,47.55,47.55
2010-05-14,47.1,47.22,46.09,46.8
2010-05-17,46.9,47.11,46.3,46.8
2010-05-18,47.1,47.38,45.88,46.05
2010-05-19,46.09,46.5,45.6,46.43
2010-05-20,45.7,45.8,44.85,45.25
2010-05-21,44.59,45.1,44.22,45.04
2010-05-24,44.65,44.65,44.15,44.2
2010-05-25,43.51,44.64,43.36,44.61
2010-05-26,44.3,44.73,43.83,43.94
2010-05-27,44.82,45.65,44.5,45.65
2010-05-28,45.5,45.84,44.75,45.14
2010-06-01,45.14,46.35,45.14,45.4
2010-06-02,45.74,46.85,45.74,46.84
2010-06-03,46.5,46.74,45.43,46.54
2010-06-04,46.0,46.35,38.9,45.79
2010-06-07,45.95,46.35,45.68,45.7
2010-06-08,46.35,46.8,46.15,46.65
2010-06-09,47.15,47.43,46.52,46.67
2010-06-10,47.35,47.66,47.08,47.64
2010-06-11,46.74,47.17,46.67,47.12
2010-06-14,47.45,47.61,47.06,47.07
2010-06-15,47.65,47.92,47.47,47.8
